0,0,0,225,226,369,0,0,0,369,369,369,369,369,369,0
0,0,0,227,0,369,326,327,327,327,331,369,369,369,355,369
0,0,226,224,369,369,326,0,0,0,331,369,369,369,369,369
0,0,225,354,369,369,326,0,0,0,331,0,355,0,0,369
0,227,226,240,369,326,327,327,320,327,327,327,327,327,331,369
0,225,240,369,369,326,343,344,344,344,344,344,344,346,331,369
224,227,369,241,369,326,359,0,0,0,0,0,322,362,331,369
227,0,369,369,369,326,359,0,0,0,0,0,0,362,331,0
0,369,225,242,354,326,359,0,0,0,0,360,0,362,331,242
369,242,369,226,241,326,359,0,0,0,0,0,0,362,331,369
369,368,368,368,369,326,359,377,0,0,0,0,0,362,331,0
369,368,368,368,368,406,327,327,327,321,327,327,327,327,411,0
369,368,368,368,368,369,368,369,369,352,369,369,369,241,369,354
369,241,369,369,368,369,369,369,369,352,369,369,242,369,242,369
355,369,369,369,369,368,369,352,352,352,369,369,368,369,369,0
0,0,0,0,0,0,0,352,0,0,354,0,0,369,0,0
