0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,19
0,0,0,0,0,0,0,0,0,0,0,4,4,4,19,19
0,0,0,0,0,0,0,0,4,4,4,4,19,19,19,19
4,4,4,4,4,4,4,4,4,19,19,19,4,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,4,19,19,19,19,4,19,19,19,19,4,19,19,19
19,19,19,19,19,17,16,16,5,16,16,16,16,17,19,19
19,19,19,4,19,17,1,1,1,1,1,1,1,17,19,19
19,19,19,19,19,17,1,17,17,17,17,1,1,17,19,19
19,4,19,19,19,17,1,17,17,17,17,1,1,17,19,19
19,19,19,19,19,17,1,1,17,17,17,17,1,17,19,19
19,19,19,19,19,17,16,16,16,5,17,17,17,17,19,19
19,19,19,19,19,19,19,19,4,4,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,4,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,4,19,19,19,19,19,19
