0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,272
0,0,0,0,0,0,0,0,0,0,0,0,0,259,256,272
0,0,0,0,0,0,0,0,0,0,0,259,256,258,400,401
0,0,0,0,0,0,0,0,259,256,258,257,400,400,400,401
256,258,257,256,259,258,257,259,256,401,401,400,256,272,400,401
272,0,401,401,401,401,273,401,401,401,400,401,401,401,274,401
272,401,256,401,272,401,401,387,401,401,401,401,386,401,0,401
272,401,400,400,401,288,289,289,353,289,289,289,289,290,401,401
272,400,400,258,401,288,416,417,417,417,417,417,418,290,401,387
272,400,400,400,401,288,432,419,419,419,419,433,434,290,401,401
272,386,400,401,401,288,432,419,419,419,419,354,434,290,401,401
272,401,401,401,401,288,432,433,419,419,419,419,434,290,401,401
272,401,273,401,401,291,289,289,289,352,289,289,289,292,401,401
272,401,401,272,401,401,401,401,386,384,0,401,401,400,400,401
272,274,401,401,401,401,401,401,0,384,0,0,401,401,273,400
272,272,387,401,401,401,401,0,0,384,0,0,0,0,401,274
